Question,Response Text,Predicted Answer,Correct Answer,Is Correct
What is 10 * 7?,"To find the answer, I'll multiply 10 by 7.

10 * 7 = 70

#### 70",70.0,70.0,True
What is 5 * 10?,"The result of 5 * 10 is 50.

#### 50",50.0,50.0,True
What is 10 * 1?,"10 * 1 = 10

#### 10",10.0,10.0,True
What is 3 * 9?,"3 * 9 = 27

#### 27",27.0,27.0,True
What is 2 * 4?,"To find the answer, we need to multiply 2 by 4.

2 * 4 = 8

#### 8",8.0,8.0,True
What is 8 * 7?,"8 * 7 = 56

#### 56",56.0,56.0,True
What is 9 * 5?,"9 * 5 = 45

#### 45",45.0,45.0,True
What is 2 * 8?,"To calculate 2 * 8, we simply multiply the two numbers together.

2 * 8 = 16

#### 16",16.0,16.0,True
What is 7 * 2?,"7 * 2 = 14

#### 14",14.0,14.0,True
What is 5 * 3?,"The result of 5 * 3 is 15.

#### 15",15.0,15.0,True
What is 7 * 1?,"7 * 1 = 7

#### 7",7.0,7.0,True
What is 1 * 4?,"The result of 1 * 4 is 4.

#### 4",4.0,4.0,True
What is 9 * 4?,"9 * 4 = 36

#### 36",36.0,36.0,True
What is 8 * 4?,"8 * 4 = 32

#### 32",32.0,32.0,True
What is 7 * 1?,"The result of 7 * 1 is 7.

#### 7",7.0,7.0,True
What is 1 * 6?,"The answer to 1 * 6 is 6.

#### 6",6.0,6.0,True
What is 7 * 6?,"The result of multiplying 7 and 6 is 42.

#### 42",42.0,42.0,True
What is 3 * 3?,"3 * 3 is equal to 9.

#### 9",9.0,9.0,True
What is 5 * 2?,"The answer to 5 * 2 is 10.

#### 10",10.0,10.0,True
What is 4 * 6?,"The result of multiplying 4 by 6 is 24.

#### 24",24.0,24.0,True
What is 2 * 8?,"2 * 8 = 16

#### 16",16.0,16.0,True
What is 8 * 10?,"8 * 10 = 80

#### 80",80.0,80.0,True
What is 4 * 10?,"4 * 10 = 40

#### 40",40.0,40.0,True
What is 8 * 10?,"8 * 10 = 80

#### 80",80.0,80.0,True
What is 6 * 7?,"The result of multiplying 6 by 7 is 42.

#### 42",42.0,42.0,True
What is 8 * 8?,"The result of 8 * 8 is 64.

#### 64",64.0,64.0,True
What is 8 * 1?,"8 * 1 = 8

#### 8",8.0,8.0,True
What is 10 * 5?,"The result of 10 multiplied by 5 is 50.

#### 50",50.0,50.0,True
What is 9 * 3?,"9 * 3 = 27

#### 27",27.0,27.0,True
What is 1 * 7?,"The answer to 1 * 7 is 7.

#### 7",7.0,7.0,True
What is 10 * 2?,"10 * 2 = 20

#### 20",20.0,20.0,True
What is 1 * 5?,"The answer to 1 * 5 is 5.

#### 5",5.0,5.0,True
What is 8 * 7?,"8 * 7 = 56

#### 56",56.0,56.0,True
What is 7 * 6?,"7 * 6 = 42

#### 42",42.0,42.0,True
What is 9 * 7?,"9 * 7 = 63

#### 63",63.0,63.0,True
